dataset,recording,item,reason
ds004703,sub-SD011_ses-01_task-PassiveListen,C217,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C218,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C219,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C220,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C221,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C222,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C223,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C224,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C225,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C226,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C227,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C228,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C229,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C230,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C231,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C232,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C233,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C234,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C235,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C236,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C237,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C238,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C239,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C240,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C241,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C242,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C243,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C244,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C245,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C246,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C247,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C248,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C249,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C250,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C251,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C252,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C253,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C254,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C255,README unused C-prefix channel; exclude at S06
ds004703,sub-SD011_ses-01_task-PassiveListen,C256,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C3,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,Cz,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C4,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C100,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C101,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C102,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C103,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C104,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C105,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C106,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C107,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C108,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C109,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C110,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C111,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C112,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C113,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C114,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C115,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C116,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C117,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C118,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C119,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C120,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C121,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C122,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C123,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C124,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C125,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C126,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C127,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-01_task-PassiveListen,C128,README unused C-prefix channel; exclude at S06
ds004703,sub-SD012_ses-02_task-PassiveListen,C3,README unused C-prefix channel; exclude at S06
