recording,item,kind,reason
sub-SD010_ses-01_task-PassiveListen,trial-27:pleasePressSpace,segment,CONTROL_NOT_PASSAGE
sub-SD010_ses-01_task-PassiveListen,trial-28:catalan-m02,segment,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
sub-SD010_ses-01_task-PassiveListen,trial-33:pleasePressSpace,segment,CONTROL_NOT_PASSAGE
sub-SD010_ses-01_task-PassiveListen,trial-34:catalan-f02,segment,CATALAN_PLAYED_AUDIO_PROVENANCE_CONFLICT;AUDIO_TEMPLATE_DURATION
sub-SD011_ses-01_task-PassiveListen,Fp1,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,F7,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,T3,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,T5,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,O1,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,F3,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,C3,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,P3,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,Fz,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,Cz,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,Pz,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,Fp2,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,F8,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,T4,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,T6,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,O2,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,F4,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,C4,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,P4,channel,OFFICIAL_BAD:noise
sub-SD011_ses-01_task-PassiveListen,EKG2,channel,NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,EKG4,channel,NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C142,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C143,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C144,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C145,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C146,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C147,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C148,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C149,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
sub-SD011_ses-01_task-PassiveListen,C150,channel,README_UNUSED_C_PREFIX;OFFICIAL_BAD:noise;NOT_NEURAL_CHANNEL
