variant,seed,epoch,train_loss,validation_loss,status
late_downsample,33,7,3.6157431602478027,3.6750581860542297,PASS
late_downsample,33,8,3.5347423553466797,3.5675490498542786,PASS
uniform_local,11,1,4.054251566529274,3.9026954770088196,PASS
uniform_local,11,2,3.8531278371810913,3.841472327709198,PASS
uniform_local,11,3,3.8279475569725037,3.8356894850730896,PASS
uniform_local,11,4,3.8237268775701523,3.8392043709754944,PASS
uniform_local,11,5,3.8197293281555176,3.8323904871940613,PASS
uniform_local,11,6,3.819432571530342,3.8359248638153076,PASS
uniform_local,11,7,3.818754643201828,3.832513213157654,PASS
uniform_local,11,8,3.815773084759712,3.8318270444869995,PASS
uniform_local,22,1,4.15005649626255,3.9588904976844788,PASS
uniform_local,22,2,3.882687881588936,3.8548988103866577,PASS
uniform_local,22,3,3.8296851068735123,3.8545063734054565,PASS
uniform_local,22,4,3.8221502900123596,3.820063054561615,PASS
uniform_local,22,5,3.7977007627487183,3.797689378261566,PASS
uniform_local,22,6,3.7356343120336533,3.7109707593917847,PASS
uniform_local,22,7,3.6446385979652405,3.756953239440918,PASS
uniform_local,22,8,3.5640131384134293,3.5804068446159363,PASS
uniform_local,33,1,4.026570752263069,3.8708556294441223,PASS
uniform_local,33,2,3.8510547280311584,3.8302180767059326,PASS
uniform_local,33,3,3.816371366381645,3.822229564189911,PASS
uniform_local,33,4,3.7790664583444595,3.7655746936798096,PASS
uniform_local,33,5,3.6811813414096832,3.678511083126068,PASS
uniform_local,33,6,3.597861811518669,3.619282364845276,PASS
uniform_local,33,7,3.542601153254509,3.5805007815361023,PASS
uniform_local,33,8,3.4947774708271027,3.562298357486725,PASS
exponential_growth,11,1,4.077279776334763,3.9387285113334656,PASS
exponential_growth,11,2,3.8690465837717056,3.8459912538528442,PASS
exponential_growth,11,3,3.8322415947914124,3.8325339555740356,PASS
exponential_growth,11,4,3.8195770829916,3.837843954563141,PASS
exponential_growth,11,5,3.8177706748247147,3.831829607486725,PASS
exponential_growth,11,6,3.817447856068611,3.835483193397522,PASS
exponential_growth,11,7,3.8174156546592712,3.8327202200889587,PASS
exponential_growth,11,8,3.8137052953243256,3.831222176551819,PASS
exponential_growth,22,1,4.173335164785385,3.9509010910987854,PASS
exponential_growth,22,2,3.8936986923217773,3.8606638312339783,PASS
exponential_growth,22,3,3.836784228682518,3.838299572467804,PASS
exponential_growth,22,4,3.82426118850708,3.83467835187912,PASS
exponential_growth,22,5,3.819638207554817,3.8335434198379517,PASS
exponential_growth,22,6,3.815809667110443,3.8310704231262207,PASS
exponential_growth,22,7,3.8150257021188736,3.8280277252197266,PASS
exponential_growth,22,8,3.8021154403686523,3.811347723007202,PASS
exponential_growth,33,1,4.048690751194954,3.8865787982940674,PASS
exponential_growth,33,2,3.8569232523441315,3.8382898569107056,PASS
exponential_growth,33,3,3.8274740129709244,3.832983136177063,PASS
exponential_growth,33,4,3.819998785853386,3.831548273563385,PASS
exponential_growth,33,5,3.814916431903839,3.828862965106964,PASS
exponential_growth,33,6,3.8125052005052567,3.82470566034317,PASS
exponential_growth,33,7,3.8078824281692505,3.8222579956054688,PASS
exponential_growth,33,8,3.795843482017517,3.7903133034706116,PASS
delayed_growth,11,1,4.057419687509537,3.908735752105713,PASS
delayed_growth,11,2,3.854748487472534,3.841704845428467,PASS
delayed_growth,11,3,3.8275001645088196,3.8357962369918823,PASS
delayed_growth,11,4,3.8230144530534744,3.838317334651947,PASS
delayed_growth,11,5,3.8186450600624084,3.8308324813842773,PASS
delayed_growth,11,6,3.8180983811616898,3.8345096707344055,PASS
delayed_growth,11,7,3.8179659843444824,3.830356538295746,PASS
delayed_growth,11,8,3.813935339450836,3.8295589089393616,PASS
delayed_growth,22,1,4.1555741131305695,3.9686803221702576,PASS
delayed_growth,22,2,3.8864012956619263,3.8564741015434265,PASS
delayed_growth,22,3,3.830472007393837,3.85108482837677,PASS
delayed_growth,22,4,3.8215985000133514,3.8220203518867493,PASS
delayed_growth,22,5,3.799157053232193,3.8023510575294495,PASS
delayed_growth,22,6,3.743952199816704,3.7321912050247192,PASS
delayed_growth,22,7,3.6819337904453278,3.6384628415107727,PASS
delayed_growth,22,8,3.5686147063970566,3.624399960041046,PASS
delayed_growth,33,1,4.032053291797638,3.8672379851341248,PASS
delayed_growth,33,2,3.8517645746469498,3.829443037509918,PASS
delayed_growth,33,3,3.813317149877548,3.8151737451553345,PASS
delayed_growth,33,4,3.7714783400297165,3.758966028690338,PASS
delayed_growth,33,5,3.672387182712555,3.6728644967079163,PASS
delayed_growth,33,6,3.591508686542511,3.7032230496406555,PASS
delayed_growth,33,7,3.5349010825157166,3.623821973800659,PASS
delayed_growth,33,8,3.5034365952014923,3.580828309059143,PASS
parallel_multiscale,11,1,4.052412137389183,3.891124963760376,PASS
parallel_multiscale,11,2,3.855836570262909,3.837986946105957,PASS
parallel_multiscale,11,3,3.828150972723961,3.833968222141266,PASS
parallel_multiscale,11,4,3.8200466632843018,3.83856737613678,PASS
